"","INSTNM","SCH_DEG","HCM2","MAIN","NUMBRANCH","PREDDEG","HIGHDEG","CONTROL","REGION","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY"
"98","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division",1,0,1,3,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"99","Dine College",2,0,1,1,2,3,1,6,28,15,19,"0","0","0","1","0","0","0","0","0"
"100","Northern Arizona University",3,0,1,1,3,4,1,6,9,5,9,"0","0","0","0","0","0","0","0","0"
"101","Northland Pioneer College",1,0,1,1,1,2,1,6,34,3,12,"0","0","0","0","0","0","1","0","0"
"102","Ottawa University-Phoenix",3,0,0,5,3,4,2,6,14,15,16,"0","0","0","0","0","0","0","0","0"
"103","Phoenix College",2,0,1,1,2,2,1,6,30,3,14,"0","0","0","0","0","1","0","0","0"
"104","Cortiva Institute-Scottsdale",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"105","Pima Community College",1,0,1,1,1,2,1,6,2,3,15,"0","0","0","0","0","1","0","0","0"
"106","Pima Medical Institute-Tucson",1,0,1,12,1,3,3,6,20,4,19,"0","0","0","0","0","0","0","0","0"
"107","Pima Medical Institute-Albuquerque",1,0,0,12,1,2,3,6,3,12,12,"0","0","0","0","0","0","0","0","0"
"108","Prescott College",3,0,1,1,3,4,2,6,14,7,17,"0","0","0","0","0","0","0","0","0"
"109","Refrigeration School Inc",1,0,1,1,1,2,3,6,4,12,12,"0","0","0","0","0","0","0","0","0"
"110","Rio Salado College",1,0,1,1,1,2,1,6,34,3,14,"0","0","0","0","0","0","0","0","0"
"111","Roberto-Venn School of Luthiery",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"112","Hair Academy of Safford",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"113","Scottsdale Community College",2,0,1,1,2,2,1,6,24,3,13,"0","0","0","0","0","0","0","0","0"
"114","South Mountain Community College",2,0,1,1,2,2,1,6,13,3,13,"0","0","0","0","0","1","0","0","0"
"115","Arizona Christian University",3,0,1,1,3,3,2,6,16,5,17,"0","0","0","0","0","0","0","0","0"
"116","Universal Technical Institute of Arizona Inc",1,0,1,6,2,2,3,6,4,12,12,"0","0","0","0","0","0","0","0","0"
"117","Western International University",3,0,1,1,3,4,3,6,23,2,16,"0","0","0","0","0","0","0","0","0"
"118","Empire Beauty School-NW Phoenix",1,0,0,10,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"119","Yavapai College",1,0,1,1,1,2,1,6,31,3,13,"0","0","0","0","0","0","0","0","0"
"120","University of Arkansas at Little Rock",3,0,1,1,3,4,1,5,9,17,5,"0","0","0","0","0","0","0","0","0"
"121","University of Arkansas for Medical Sciences",3,0,1,1,3,4,1,5,19,15,3,"0","0","0","0","0","0","0","0","0"
"122","Arkansas Baptist College",2,1,1,1,2,3,2,5,17,5,18,"1","0","0","0","0","0","0","0","0"
"123","Arkansas Beauty School-Little Rock",1,0,1,1,1,1,3,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"124","Arkansas Beauty College",1,0,1,1,1,1,3,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"125","Lyon College",3,0,1,1,3,3,2,5,15,8,18,"0","0","0","0","0","0","0","0","0"
"126","Arkansas College of Barbering and Hair Design",1,0,1,2,1,1,3,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"127","Arthur's Beauty College Inc-Fort Smith",1,0,1,2,1,1,3,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"128","University of Arkansas",3,0,1,1,3,4,1,5,8,9,9,"0","0","0","0","0","0","0","0","0"
"129","University of Arkansas at Pine Bluff",3,0,1,1,3,4,1,5,16,4,4,"1","0","0","0","0","0","0","0","0"
"130","Arkansas State University-Beebe",1,0,1,1,1,2,1,5,30,10,13,"0","0","0","0","0","0","0","0","0"
"131","Arkansas State University-Main Campus",3,0,1,1,3,4,1,5,9,17,6,"0","0","0","0","0","0","0","0","0"
"132","Arkansas Tech University",3,0,1,1,3,4,1,5,11,4,6,"0","0","0","0","0","0","0","0","0"
"133","University of Arkansas at Monticello",1,0,1,1,1,4,1,5,12,4,3,"0","0","0","0","0","0","0","0","0"
"134","Arthur's Beauty College Inc-Jacksonville",1,0,1,2,1,1,3,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"135","Baptist Health College Little Rock",2,0,1,1,2,2,2,5,3,12,12,"0","0","0","0","0","0","0","0","0"
"136","Black River Technical College",1,0,1,1,1,2,1,5,29,10,12,"0","0","0","0","0","0","0","0","0"
"137","University of Central Arkansas",3,0,1,1,3,4,1,5,10,7,6,"0","0","0","0","0","0","0","0","0"
"138","Central Baptist College",3,0,1,1,3,3,2,5,16,5,17,"0","0","0","0","0","0","0","0","0"
"139","Cossatot Community College of the University of Arkansas",1,0,1,1,1,2,1,5,31,3,12,"0","0","0","0","0","1","0","0","0"
"140","Crowley's Ridge College",3,0,1,1,3,3,2,5,16,4,18,"0","0","0","0","0","0","0","0","0"
"141","Crowley's Ridge Technical Institute",1.92616959064327,0,1,1,1,1,1,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"142","East Arkansas Community College",1,0,1,1,1,2,1,5,24,3,12,"0","0","0","0","0","0","0","0","0"
"143","Eastern College of Health Vocations-Little Rock",1,0,1,2,1,1,3,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"144","Imagine-Paul Mitchell Partner School",1,0,1,1,1,1,3,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"145","National Park College",2,0,1,1,2,2,1,5,32,10,12,"0","0","0","0","0","0","0","0","0"
"146","University of Arkansas Community College-Batesville",1,0,1,1,1,2,1,5,32,10,12,"0","0","0","0","0","0","0","0","0"
"147","Harding University",3,0,1,2,3,4,2,5,10,8,7,"0","0","0","0","0","0","0","0","0"
"148","Henderson State University",3,0,1,1,3,4,1,5,12,7,4,"0","0","0","0","0","0","0","0","0"
"149","Hendrix College",3,0,1,1,3,4,2,5,15,8,4,"0","0","0","0","0","0","0","0","0"
"150","Hot Springs Beauty College",1,0,1,1,1,1,3,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"151","Jefferson Regional Medical Center School of Nursing",1,0,1,1,1,1,2,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"152","John Brown University",3,0,1,1,3,4,2,5,12,9,4,"0","0","0","0","0","0","0","0","0"
"153","Career Academy of Hair Design",1,0,1,5,1,1,3,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"154","Academy of Salon and Spa",1,0,1,1,1,1,3,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"155","Arkansas State University Mid-South",1,0,1,1,1,2,1,5,24,3,12,"0","1","0","0","0","0","0","0","0"
"156","Arkansas Northeastern College",1,0,1,1,1,2,1,5,34,3,12,"0","0","0","0","0","0","0","0","0"
"157","New Tyler Barber College Inc",1,0,1,1,1,1,3,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"158","North Arkansas College",1,0,1,1,1,2,1,5,29,10,12,"0","0","0","0","0","0","0","0","0"
"159","Northwest Technical Institute",1,0,1,1,1,1,1,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"160","Ouachita Baptist University",3,0,1,1,3,3,2,5,16,6,4,"0","0","0","0","0","0","0","0","0"
"161","College of the Ouachitas",1,0,1,1,1,2,1,5,34,3,12,"0","0","0","0","0","0","0","0","0"
"162","Ozarka College",1,0,1,1,1,2,1,5,33,10,12,"0","0","0","0","0","0","0","0","0"
"163","University of the Ozarks",3,0,1,1,3,3,2,5,16,4,18,"0","0","0","0","0","0","0","0","0"
"164","University of Arkansas Community College-Morrilton",1,0,1,1,1,2,1,5,29,10,12,"0","0","0","0","0","0","0","0","0"
"165","Philander Smith College",3,0,1,1,3,3,2,5,16,4,18,"1","0","0","0","0","0","0","0","0"
"166","Phillips Community College of the University of Arkansas",1,0,1,1,1,2,1,5,31,3,12,"0","0","0","0","0","0","0","0","0"
"167","Southeast Arkansas College",1,0,1,1,1,2,1,5,2,10,12,"0","1","0","0","0","0","0","0","0"
"168","Professional Cosmetology Education Center",1,0,1,1,1,1,3,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"169","University of Arkansas-Pulaski Technical College",1,0,1,1,1,2,1,5,2,10,13,"0","0","0","0","0","0","0","0","0"
"170","University of Arkansas Community College-Hope",1,0,1,2,1,2,1,5,29,10,12,"0","0","0","0","0","0","0","0","0"
"171","University of Arkansas Community College Rich Mountain",1,0,1,1,1,2,1,5,31,3,12,"0","0","0","0","0","0","0","0","0"
"172","Paul Mitchell the School-Arkansas",1,0,1,1,1,1,3,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"173","Searcy Beauty College",1,0,1,1,1,1,3,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"174","Shorter College",2,0,1,1,2,2,2,5,13,11,2,"1","0","0","0","0","0","0","0","0"
"175","Williams Baptist University",3,0,1,1,3,3,2,5,15,7,18,"0","0","0","0","0","0","0","0","0"
"176","South Arkansas Community College",1,0,1,1,1,2,1,5,30,10,12,"0","0","0","0","0","0","0","0","0"
"177","Southern Arkansas University Main Campus",3,0,1,1,3,4,1,5,11,6,7,"0","0","0","0","0","0","0","0","0"
"178","Southern Arkansas University Tech",1,0,1,1,1,2,1,5,34,10,12,"0","0","0","0","0","0","0","0","0"
"179","Velvatex College of Beauty Culture",1,0,1,1,1,1,3,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"180","University of Arkansas-Fort Smith",3,0,1,1,3,4,1,5,16,5,5,"0","0","0","0","0","0","0","0","0"
"181","Academy of Art University",3,0,1,1,3,4,3,8,11,13,5,"0","0","0","0","0","0","0","0","0"
"182","Academy of Chinese Culture and Health Sciences",3,0,1,1,4,4,2,8,20,2,11,"0","0","0","0","0","0","0","0","0"
"183","The Academy of Radio and TV Broadcasting",1,0,1,1,1,1,3,8,1,1,1,"0","0","0","0","0","0","0","0","0"
"184","Avalon School of Cosmetology-Alameda",1,0,1,1,1,1,3,8,1,1,1,"0","0","0","0","0","0","0","0","0"
"185","College of Alameda",1,0,1,1,1,2,1,8,13,3,13,"0","0","0","0","1","0","0","0","0"
"186","Allan Hancock College",2,0,1,1,2,2,1,8,13,3,14,"0","0","0","0","0","1","0","0","0"
"187","American Academy of Dramatic Arts-Los Angeles",2,0,0,2,2,2,2,8,5,12,2,"0","0","0","0","0","0","0","0","0"
"188","American Baptist Seminary of the West",3,0,1,1,4,4,2,8,18,2,11,"0","0","0","0","0","0","0","0","0"
"189","American Film Institute Conservatory",3,0,1,1,4,4,2,8,25,2,11,"0","0","0","0","0","0","0","0","0"
"190","American Beauty College",1,0,1,1,1,1,3,8,1,1,1,"0","0","0","0","0","0","0","0","0"
"191","American Career College-Los Angeles",1,0,1,3,1,2,3,8,3,12,12,"0","0","0","0","0","0","0","0","0"
"192","American Conservatory Theater",1,0,1,1,1,4,2,8,25,2,16,"0","0","0","0","0","0","0","0","0"
"193","American River College",1,0,1,1,1,2,1,8,29,3,15,"0","0","0","0","1","0","0","0","0"
"194","Antelope Valley College",2,0,1,1,2,2,1,8,7,13,5,"0","0","0","0","0","1","0","0","0"
"195","Art Center College of Design",3,0,1,1,3,4,2,8,25,7,19,"0","0","0","0","0","0","0","0","0"
"196","Associated Technical College-Los Angeles",1,0,1,1,1,1,3,8,1,1,1,"0","0","0","0","0","0","0","0","0"
"197","Associated Technical College-San Diego",1,0,1,1,1,1,3,8,1,1,1,"0","0","0","0","0","0","0","0","0"
"198","Azusa Pacific University",3,0,1,2,3,4,2,8,9,7,7,"0","0","0","0","1","1","0","0","0"
"199","Bakersfield College",2,0,1,1,2,2,1,8,7,13,8,"0","0","0","0","0","1","0","0","0"
"200","Barstow Community College",2,0,1,1,2,2,1,8,32,10,12,"0","0","0","0","0","0","0","0","0"
"201","Bellus Academy-Chula Vista",1,0,1,1,1,1,3,8,1,1,1,"0","0","0","0","0","0","0","0","0"
"202","Bethesda University",3,0,1,1,3,4,2,8,18,4,16,"0","0","0","0","1","0","0","0","0"
"203","Biola University",3,0,1,1,3,4,2,8,10,7,7,"0","0","0","0","0","0","0","0","0"
"204","Brownson Technical School",1,0,1,1,1,1,3,8,1,1,1,"0","0","0","0","0","0","0","0","0"
"205","Bryan University",2,0,1,1,2,3,3,6,20,5,19,"0","0","0","0","0","0","0","0","0"
"206","Butte College",2,0,1,1,2,2,1,8,32,10,14,"0","0","0","0","0","1","0","0","0"
"207","Phillips Graduate University",3,0,1,1,4,4,2,8,20,2,11,"0","0","0","0","0","0","0","0","0"
"208","California Institute of Integral Studies",3,0,1,1,3,4,2,8,10,5,19,"0","0","0","0","0","0","0","0","0"
"209","Cabrillo College",2,0,1,1,2,2,1,8,2,3,14,"0","0","0","0","0","1","0","0","0"
"210","California Baptist University",3,0,1,1,3,4,2,8,11,7,6,"0","0","0","0","0","1","0","0","0"
"211","California College of the Arts",3,0,1,1,3,4,2,8,25,7,3,"0","0","0","0","0","0","0","0","0"
"212","University of California-Hastings College of Law",3,0,1,1,4,4,1,8,26,2,11,"0","0","0","0","0","0","0","0","0"
"213","California Institute of Technology",3,0,1,1,3,4,2,8,8,8,4,"0","0","0","0","0","0","0","0","0"
"214","California Lutheran University",3,0,1,1,3,4,2,8,11,7,6,"0","0","0","0","0","1","0","0","0"
"215","California Polytechnic State University-San Luis Obispo",3,0,1,1,3,4,1,8,11,8,9,"0","0","0","0","0","0","0","0","0"
"216","Alliant International University-San Diego",1,0,1,6,1,4,3,8,10,13,19,"0","0","0","0","0","0","0","0","0"
"217","California State University-Bakersfield",3,0,1,1,3,4,1,8,11,7,5,"0","0","0","0","0","1","0","0","0"
"218","California State University-Stanislaus",3,0,1,1,3,4,1,8,11,7,5,"0","0","0","0","1","1","0","0","0"
"219","California State University-San Bernardino",3,0,1,1,3,4,1,8,11,5,8,"0","0","0","0","0","1","0","0","0"
"220","California State Polytechnic University-Pomona",3,0,1,1,3,4,1,8,11,7,8,"0","0","0","0","1","1","0","0","0"
"221","California State University-Chico",3,0,1,1,3,4,1,8,11,7,8,"0","0","0","0","0","1","0","0","0"
"222","California State University-Dominguez Hills",3,0,1,1,3,4,1,8,11,17,8,"0","0","0","0","0","1","0","0","0"
"223","California State University-Fresno",3,0,1,1,3,4,1,8,10,5,8,"0","0","0","0","0","1","0","0","0"
"224","California State University-Fullerton",3,0,1,1,3,4,1,8,11,7,8,"0","0","0","0","0","1","0","0","0"
"225","California State University-East Bay",3,0,1,1,3,4,1,8,11,7,8,"0","0","0","0","1","1","0","0","0"
"226","California State University-Long Beach",3,0,1,1,3,4,1,8,11,7,8,"0","0","0","0","0","1","0","0","0"
"227","California State University-Los Angeles",3,0,1,1,3,4,1,8,11,5,8,"0","0","0","0","1","1","0","0","0"
"228","California State University-Northridge",3,0,1,1,3,4,1,8,11,5,8,"0","0","0","0","0","1","0","0","0"
"229","California State University-Sacramento",3,0,1,1,3,4,1,8,11,5,8,"0","0","0","0","1","1","0","0","0"
"230","University of California-Berkeley",3,0,1,1,3,4,1,8,8,9,9,"0","0","0","0","0","0","0","0","0"
"231","University of California-Davis",3,0,1,1,3,4,1,8,8,9,8,"0","0","0","0","1","0","0","0","0"
"232","University of California-Irvine",3,0,1,1,3,4,1,8,8,9,9,"0","0","0","0","1","1","0","0","0"
"233","University of California-Los Angeles",3,0,1,1,3,4,1,8,8,9,10,"0","0","0","0","0","0","0","0","0"
"234","University of California-Riverside",3,0,1,1,3,4,1,8,8,9,9,"0","0","0","0","1","1","0","0","0"
"235","University of California-San Diego",3,0,1,1,3,4,1,8,8,9,9,"0","0","0","0","0","0","0","0","0"
"236","University of California-San Francisco",3,0,1,1,4,4,1,8,19,2,11,"0","0","0","0","0","0","0","0","0"
"237","University of California-Santa Barbara",3,0,1,1,3,4,1,8,8,9,9,"0","0","0","0","0","1","0","0","0"
"238","University of California-Santa Cruz",3,0,1,1,3,4,1,8,8,9,10,"0","0","0","0","0","1","0","0","0"
"239","Sofia University",3,0,1,1,3,4,3,8,20,13,16,"0","0","0","0","0","0","0","0","0"
"240","California Beauty School",1,0,1,1,1,1,3,8,1,1,1,"0","0","0","0","0","0","0","0","0"
"241","California Christian College",3,0,1,1,3,3,2,8,18,13,16,"0","0","0","0","0","0","0","0","0"
"242","California Hair Design Academy",1,0,1,1,1,1,3,8,1,1,1,"0","0","0","0","0","0","0","0","0"
"243","California Institute of the Arts",3,0,1,1,3,4,2,8,25,8,3,"0","0","0","0","0","0","0","0","0"
"244","California State University Maritime Academy",3,0,1,1,3,4,1,8,16,7,4,"0","0","0","0","0","0","0","0","0"
